Name;Step;Drag;Lift;RecircArea;Jet0;Jet1
Simu_lift;191;-0.16059467;0.060078338;0.011342263;0.00135472958238;-0.00135472958238
Simu_lift;192;-0.16061637;0.060252693;0.011329712;0.00135517970801;-0.00135517970801
Simu_lift;193;-0.16063766;0.060424075;0.011329712;0.00135558482108;-0.00135558482108
Simu_lift;194;-0.16065854;0.06059236;0.011448591;0.00135594942284;-0.00135594942284
Simu_lift;195;-0.160679;0.06075742;0.011443241;0.00135627756443;-0.00135627756443
Simu_lift;196;-0.160699;0.06091916;0.011453201;0.00135657289186;-0.00135657289186
Simu_lift;197;-0.16071856;0.061077464;0.011453201;0.00135683868655;-0.00135683868655
Simu_lift;198;-0.16073766;0.061232258;0.011453201;0.00135707790176;-0.00135707790176
Simu_lift;199;-0.1607563;0.061383445;0.011503542;0.00135729319546;-0.00135729319546
Simu_lift;200;-0.16077445;0.061530963;0.011445986;0.00137916624011;-0.00137916624011
Simu_lift;201;-0.16078003;0.06636201;0.011440402;0.0013988519803;-0.0013988519803
Simu_lift;202;-0.16079721;0.06629672;0.011440402;0.00141656914646;-0.00141656914646
Simu_lift;203;-0.16080362;0.06602874;0.011548206;0.00143251459601;-0.00143251459601
Simu_lift;204;-0.16081508;0.06584197;0.011513047;0.00144686550061;-0.00144686550061
Simu_lift;205;-0.16082504;0.065670356;0.011485395;0.00145978131475;-0.00145978131475
Simu_lift;206;-0.16083635;0.06552883;0.011314225;0.00147140554747;-0.00147140554747
Simu_lift;207;-0.16084696;0.06540204;0.011250552;0.00148186735692;-0.00148186735692
Simu_lift;208;-0.16085806;0.065298;0.011309982;0.00149128298543;-0.00149128298543
Simu_lift;209;-0.16086872;0.065207765;0.011296371;0.00149975705108;-0.00149975705108
Simu_lift;210;-0.16087945;0.065134734;0.011298473;0.00150738371017;-0.00150738371017
Simu_lift;211;-0.16088979;0.06507338;0.011298473;0.00151424770335;-0.00151424770335
Simu_lift;212;-0.16089998;0.065024965;0.011298473;0.00152042529721;-0.00152042529721
Simu_lift;213;-0.16090976;0.06498588;0.011303643;0.00152598513169;-0.00152598513169
Simu_lift;214;-0.16091923;0.06495638;0.011300258;0.00153098898272;-0.00153098898272
Simu_lift;215;-0.16092826;0.06493402;0.011280035;0.00153549244864;-0.00153549244864
Simu_lift;216;-0.16093692;0.064918585;0.011280035;0.00153954556798;-0.00153954556798
Simu_lift;217;-0.16094507;0.06490835;0.01122719;0.00154319337538;-0.00154319337538
Simu_lift;218;-0.16095278;0.06490291;0.011240272;0.00154647640204;-0.00154647640204
Simu_lift;219;-0.16095996;0.064901;0.0111943465;0.00154943112603;-0.00154943112603
Simu_lift;220;-0.16096663;0.06490219;0.010994454;0.00155209037762;-0.00155209037762
Simu_lift;221;-0.16097274;0.0649055;0.010994454;0.00155448370406;-0.00155448370406
Simu_lift;222;-0.1609783;0.064910516;0.010920578;0.00155663769785;-0.00155663769785
Simu_lift;223;-0.1609833;0.0649165;0.011020558;0.00155857629226;-0.00155857629226
Simu_lift;224;-0.16098769;0.06492306;0.011020558;0.00156032102723;-0.00156032102723
Simu_lift;225;-0.16099149;0.064929634;0.011020558;0.00156189128871;-0.00156189128871
Simu_lift;226;-0.16099468;0.06493588;0.01101723;0.00156330452403;-0.00156330452403
Simu_lift;227;-0.16099726;0.06494134;0.01101723;0.00156457643583;-0.00156457643583
Simu_lift;228;-0.1609992;0.06494572;0.0109086;0.00156572115644;-0.00156572115644
Simu_lift;229;-0.1610005;0.06494868;0.011152991;0.001566751405;-0.001566751405
Simu_lift;230;-0.16100116;0.06494996;0.011152991;0.00156767862869;-0.00156767862869
Simu_lift;231;-0.16100118;0.06494929;0.011117335;0.00156851313002;-0.00156851313002
Simu_lift;232;-0.16100053;0.06494646;0.011117335;0.00156926418122;-0.00156926418122
Simu_lift;233;-0.16099924;0.064941235;0.011117335;0.00156994012729;-0.00156994012729
Simu_lift;234;-0.16099729;0.064933464;0.011117335;0.00157054847876;-0.00157054847876
Simu_lift;235;-0.16099465;0.06492295;0.011117335;0.00157109599508;-0.00157109599508
Simu_lift;236;-0.16099136;0.06490956;0.011117335;0.00157158875977;-0.00157158875977
Simu_lift;237;-0.16098739;0.064893164;0.011282386;0.00157203224799;-0.00157203224799
Simu_lift;238;-0.16098276;0.06487363;0.0112635875;0.00157243138739;-0.00157243138739
Simu_lift;239;-0.16097744;0.064850844;0.011273329;0.00157279061285;-0.00157279061285
Simu_lift;240;-0.16097145;0.06482473;0.011453792;0.00157311391576;-0.00157311391576
Simu_lift;241;-0.16096477;0.06479519;0.011455465;0.00157340488838;-0.00157340488838
Simu_lift;242;-0.16095743;0.06476214;0.011405537;0.00157366676374;-0.00157366676374
Simu_lift;243;-0.16094941;0.06472552;0.011405537;0.00157390245156;-0.00157390245156
Simu_lift;244;-0.1609407;0.06468526;0.011319095;0.00157411457061;-0.00157411457061
Simu_lift;245;-0.16093133;0.06464133;0.011415632;0.00157430547774;-0.00157430547774
Simu_lift;246;-0.16092129;0.06459365;0.011415632;0.00157447729417;-0.00157447729417
Simu_lift;247;-0.16091056;0.0645422;0.011290564;0.00157463192895;-0.00157463192895
Simu_lift;248;-0.16089918;0.06448693;0.011327616;0.00157477110025;-0.00157477110025
Simu_lift;249;-0.16088712;0.06442781;0.011327616;0.00157489635442;-0.00157489635442
Simu_lift;250;-0.1608744;0.06436482;0.011251956;0.00158003813195;-0.00158003813195
Simu_lift;251;-0.1608582;0.06538526;0.011251956;0.00158466573172;-0.00158466573172
